Column,Data Type,Missing Values,Unique Values
"Table name: bc5a9d1c-1f3b-4629-9cfb-0d1ccc9ac81f Last updated: Jun 26, 2026 11:24 AM",object,0,501
Unnamed: 1,object,0,501
Unnamed: 2,str,0,2
Unnamed: 3,str,0,2
Unnamed: 4,object,0,2
Unnamed: 5,str,0,2
Unnamed: 6,object,0,2
Unnamed: 7,str,0,2
Unnamed: 8,str,0,2
Unnamed: 9,str,0,2
Unnamed: 10,str,0,2
Unnamed: 11,str,0,2
Unnamed: 12,str,0,2
Unnamed: 13,str,0,2
Unnamed: 14,str,0,2
Unnamed: 15,str,0,2
Unnamed: 16,str,0,2
Unnamed: 17,object,0,2
Unnamed: 18,object,0,2
Unnamed: 19,object,0,2
Unnamed: 20,object,0,501
Unnamed: 21,object,0,211
